Customer|Name|Revision|Configurable|Name|Number|Revision|Description|Manufacturer|Name|Number|Revision|Description|ConfigurationOption|ConsolidatedReferences|CustomerPartNumber|Name|Value|Description|InternalPartNumber|IsSubAssembly|ItemNumber|Manufacturer|OptionCode|Package|PartLabel|PartRevision|PartType|Polarized|Quantity|Reference|RevisionMode|Socket|UnitOfIssue|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,100R,1/16W,1%,+/-100PPM,THKF,0402|CRCW0402100RFKED|no|14|Vishay|||||Electronic||2||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,100K,1/16W,1%,+/-100PPM,THKF,0402|CRCW0402100KFKED|no|15|Vishay|||||Electronic||2||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,100K,1/16W,1%,+/-100PPM,THKF,0402|CRCW0402100KFKED|no|15|Vishay|||||Electronic||2||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
