Customer|Name|Revision|Configurable|Name|Number|Revision|Description|Manufacturer|Name|Number|Revision|Description|ConfigurationOption|ConsolidatedReferences|CustomerPartNumber|Name|Value|Description|InternalPartNumber|IsSubAssembly|ItemNumber|Manufacturer|OptionCode|Package|PartLabel|PartRevision|PartType|Polarized|Quantity|Reference|RevisionMode|Socket|UnitOfIssue|
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"LOCKWASHER,#6,EXTERNAL,K,U,XX,X,XX"|"Y6KUXXXXX"|yes|"10.37"|""|""|""|""|""|"Generic"|""|13|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"SCREW,PAN-PHIL,8-32,0.750LG,K,U,XX,X,XX"|"GP8-32X3/4KUXXXXX"|yes|"10.38"|""|""|""|""|""|"Generic"|""|8|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"LOCKWASHER,SPLIT,0.171 ID,0.293 OD,K,U"|"LW8KUXXXXX"|yes|"10.39"|""|""|""|""|""|"Generic"|""|8|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"SCREW,PAN-PHIL,10-32,0.500LG,K,U,XX,X,X"|"GP10-32X1/2KUXXXXX"|yes|"10.40"|""|""|""|""|""|"Generic"|""|4|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"LOCKWASHER,SPLIT,0.196 ID,0.334 OD,K,U"|"LW10KUXXXXX"|yes|"10.41"|""|""|""|""|""|"Generic"|""|4|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"WASHER,FLAT,0.203ID,0.438OD,K,U,XX,X,XX"|"W10KUXXXXX"|yes|"10.42"|""|""|""|""|""|"Generic"|""|4|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|"ABM2S-A-C"|""|""|"MOUNT  CABLE TIE"|"ABM2S-A-C"|yes|"10.43"|""|""|""|""|""|"Electronic"|""|4|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"FUSE, FAST, 3.15A, 5X20MM, EU STANDARDS"|"2173.15"|yes|"10.44"|""|""|""|""|""|"Electronic"|""|2|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"GASKET,T 0.125"""|"100297231-REV2-JOY"|yes|"10.45"|""|""|""|""|"2"|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"SCREW,FLAT-PHIL/82D,4-40,0.375LG,S,BLACK"|"FP4-40X3/8SB"|yes|"10.46"|""|""|""|""|""|"Electronic"|""|2|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"THERMAL COMPOUND 8 OZ WHT WAKEFIELD ENG."|"120-8DUP1"|yes|"10.47"|""|""|""|""|""|"Electronic"|""|.001|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|"026001006-AMF"|""|""|"PINSPOTTER-CONTROLLER,RSC,200CK,BOX"|"026001006-AMF"|yes|"10.48"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|"026001007-AMF"|""|""|"PINSPOTTER CONTROLLER FOAM, 1.2 POLYLAM"|"026001007-AMF"|yes|"10.49"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"LOCKWASHER,SPLIT,0.118 ID,0.209 OD,K,U"|"LW4KUXXXXX"|yes|"10.50"|""|""|""|""|""|"Generic"|""|6|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"WASHER,FLAT,0.125ID,0.219OD,K,U,XX,X,XX"|"WSP4KUXXXXX"|yes|"10.51"|""|""|""|""|""|"Generic"|""|6|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|"026001008-REV-AMF"|""|""|"LABEL, PINSPOTTER BOX WARRANTY VOID"|"026001008-REV-AMF"|yes|"10.52"|""|""|""|""|"NO REV"|"Electronic"|""|2|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"ASSY,WIRE HARNESS,PINSPOTTER BOX"|"LAMF-05-000-REVE"|yes|"10.53"|""|""|""|""|"E"|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"WIRE ASSY, POWER CABLE, AMF PINSPOTTER"|"026001010-REV-AMF"|yes|"10.54"|""|""|""|""|"NO REV"|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"PINSPOTTER BOX JUMPER WIRES"|"026001012-REVA-AMF"|yes|"10.55"|""|""|""|""|"A"|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"NUT,KEP,1/4-20,STAINLESS STEEL"|"025NKS"|yes|"10.56"|""|""|""|""|""|"Electronic"|""|4|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"WASHER,FLAT,0.156ID,0.312OD,K,U,XX,X,XX"|"W6KUXXXXX"|yes|"10.57"|""|""|""|""|""|"Generic"|""|6|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"FUSE-HOLDER,SLOT,250V,16A,5X20MM,PANEL"|"HTB-36M-R"|yes|"10.58"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"FUSE,SLOW-BLOW,250VAC,2.5A,5/20MM,CYL"|"BK/S506-2.5-R"|yes|"10.59"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"CABLE ASSY,XLI FPGA PROGRAM PORT"|"088-400-033-REVB-AMF"|yes|"10.60"|""|""|""|""|"B"|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"NUT,HEX,4-40,K,U,XX,X,XX"|"N4-40KUXXXXX"|yes|"10.61"|""|""|""|""|""|"Generic"|""|2|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"LOCKWASHER,SPLIT,0.118 ID,0.209 OD,K,U"|"LW4KUXXXXX"|yes|"10.62"|""|""|""|""|""|"Generic"|""|2|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"WASHER,FLAT,0.125ID,0.312OD,K,U,XX,X,XX"|"W4KUXXXXX"|yes|"10.63"|""|""|""|""|""|"Generic"|""|2|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"XLI CHASSIS, REAR PANEL,WELDMENT"|"088-400-027-REVD-AMF"|yes|"10.64"|""|""|""|""|"D_1"|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"ADAPTER,THRD,M/M,10-32X3/8""L,5/16""HEX,SS"|"95316A450"|yes|"10.65"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"LOCKWASHER, EXT STAR 0.200 ID, 0.403 OD"|"Y10KUXXXXX"|yes|"10.66"|""|""|""|""|""|"Generic"|""|6|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"NUT,HEX,10-32,K,U,XX,X,XX"|"N10-32KUXXXXX"|yes|"10.67"|""|""|""|""|""|"Generic"|""|3|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"LABEL,PINSPOTTER BOARD"|"LAMF-12-008.LBL"|yes|"5.1"|""|""|""|""|""|"Generic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"STENCIL,FOR ASSY 088-000-013, 063, 064"|"STN-088-000-012-REVA_5-TOP-AMF"|yes|"10.1"|""|""|""|""|"A_5"|"Electronic"|""|0|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"STENCIL,FOR ASSY 088-000-013, 063, 064"|"STN-088-000-012-REVA_5-BOT-AMF"|yes|"10.2"|""|""|""|""|"A_5"|"Electronic"|""|0|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"TP,AMF PROGRAMMING,088-000-013,063,064"|"TST-7470"|yes|"10.3"|""|""|""|""|"2"|"Generic"|""|0|""|"UseSpecific"|""|"ref"
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"DWG,PINSPOTTER CPU BOARD"|"088-000-013-AMF"|yes|"10.4"|""|""|""|""|"C"|"Generic"|""|0|""|"UseSpecific"|""|"ref"
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|"C0805C104K5RAC-7800"|""|""|"CAP, X7R, 0.1UF, 50V, 10%, 0805"|"C0805C104K5RAC-7800"|yes|"10.5"|""|""|""|""|""|"Electronic"|""|17|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|"C0603C103K5RAC-7800"|""|""|"CAP, X7R, 0.01UF, 50V, 10%, 0603"|"C0603C103K5RAC-7800"|yes|"10.6"|""|""|""|""|""|"Electronic"|""|8|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|"RK73H2ATTD1001F"|""|""|"RES,1K00,1/10W,1%,+/-100PPM,THKF,0805"|"RK73H2ATTD1001F"|yes|"10.7"|""|""|""|""|""|"Electronic"|""|12|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|"MBRS140T3G"|""|""|"DIODE,RECT,SCHOTTKY,40V,1A,SMB"|"MBRS140T3G"|yes|"10.8"|""|""|""|""|""|"Electronic"|""|2|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"CAP, Y5V, 2.2UF, 16V, +80% / -20%, 0805"|"C0805C225Z4VAC-7800"|yes|"10.9"|""|""|""|""|""|"Electronic"|""|8|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"RES,2K67,1/10W,1%,+/-100PPM,THKF,0805"|"CRCW08052671FRT1"|yes|"10.10"|""|""|""|""|""|"Electronic"|""|2|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|"MMBT3904LT1G"|""|""|"TRANS,NPN,40V,200MA,SOT-23"|"MMBT3904LT1G"|yes|"10.11"|""|""|""|""|""|"Electronic"|""|2|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"TRANS,PNP,40V,200MA,SOT-23"|"MMBT3906LT1G"|yes|"10.12"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"CRYSTAL, 8.000MHZ, 100PPM, SMT "|"ECS-80-18-5PDN-TR"|yes|"10.13"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|"RK73H2ATTD1002F"|""|""|"RES,10K0,1/10W,1%,+/-100PPM,THKF,0805"|"RK73H2ATTD1002F"|yes|"10.14"|""|""|""|""|""|"Electronic"|""|11|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"CAP, C0G, 15PF, 50V, 5%, 0603"|"C0603C150J5GAC-7800"|yes|"10.15"|""|""|""|""|""|"Electronic"|""|4|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"CRYSTAL, WATCH, 32.768KHZ, 20PPM, SMT"|"FSR327"|yes|"10.16"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"IC, LOGIC, HEX INV, 74HC04, TSSOP "|"SN74HC04PWR"|yes|"10.17"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"IC, LOGIC, QUAD 2IN AND, 74HC08, TSSOP"|"SN74HC08PWR"|yes|"10.18"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"IC, LOGIC, DECODER 3 TO 8, 74HC138,TSSO"|"SN74HC138PWR"|yes|"10.19"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"IC, LOGIC, 3-ST OCT DRIV, 74HC244, TSSO"|"SN74HC244PWR"|yes|"10.20"|""|""|""|""|""|"Electronic"|""|2|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"IC, LOGIC, 3-ST OCT TRX, 74HC245, TSSOP"|"SN74HC245PWR"|yes|"10.21"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"IC, LOGIC, 3-ST D-LATCH, 74HC373, TSSOP"|"SN74HC373PWR"|yes|"10.22"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"IC,REG,ADJ,OUTPUT,SOIC8"|"LM78L05ACMX/NOPB"|yes|"10.23"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|"RK73H2ATTD1003F"|""|""|"RES,100K,1/8W,1%,+/-100PPM,THKF,0805"|"RK73H2ATTD1003F"|yes|"10.24"|""|""|""|""|""|"Electronic"|""|10|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|"RK73H2ATTD1000F"|""|""|"RES,100R,1/10W,1%,+/-100PPM,THKF,0805"|"RK73H2ATTD1000F"|yes|"10.25"|""|""|""|""|""|"Electronic"|""|3|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"RES, NET, 1.5K / 3.3K, SMT"|"767-165-102A-TR"|yes|"10.26"|""|""|""|""|""|"Electronic"|""|2|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"RES,196R,1/2W,1%,+/-100PPM,THKF,2010"|"RK73H2HTTE1960F"|yes|"10.27"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|"EP1K100QC208-3"|""|""|"IC, FPGA, EP1K100, PQFP"|"EP1K100QC208-3"|yes|"10.28"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"IC, MCU, ATMEGA128, TQFP"|"ATMEGA128L-8AC"|yes|"10.29"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"FILTER,DIGITAL NOISE,500KHZ,SMD"|"ELK-E103FA"|yes|"10.30"|""|""|""|""|""|"Electronic"|""|2|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"IC,REG,LINEAR,LDO,2.5V,150MA,SOT-23-5"|"LP2985AIM5-2.5"|yes|"10.31"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"IC,REG,LINEAR,LDO,3.3V,150MA,SOT-23-5"|"LP2985AIM5-3.3"|yes|"10.32"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"IC, TRANSCEIVER, RS-485, SOIC T/R"|"ADM489ARZ"|yes|"10.33"|""|""|""|""|""|"Electronic"|""|2|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"IC, TRANSCEIVER, RS-232, SSOP"|"MAX3222CDBR"|yes|"10.34"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"IC,MCU,PROGRAMMED,PIC16C54,DIP"|"U8-1-AMF"|yes|"10.35"|""|""|""|""|"NO REV"|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"IC, REG, LINEAR, 5V, 1A, LDO(SEE NOTES)"|"PQ05DZ11"|yes|"10.36"|""|""|""|""|""|"Electronic"|""|2|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|"TL16C554APNG4"|""|""|"IC, UART, QUAD W/FIFO, LQFP"|"TL16C554APNG4"|yes|"10.37"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"SURFACE MOUNT PCB TEST POINT, PB FREE"|"TP-108-02-5-T"|yes|"10.38"|""|""|""|""|""|"Electronic"|""|2|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"DIODE,TVS,15V,600W,BIDIR,DO-214AA"|"SMBJ15A"|yes|"10.39"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"MOSFET, N-CHANNEL, 20V, 1.7A, SOT-23"|"ZXM61N02FTA"|yes|"10.40"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"PCB,CPU PINSPOTTER"|"088-000-012-REVA_5-AMF"|yes|"10.41"|""|""|""|""|"A_5"|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"CONN,SOCKET,PLCC-20,SMT"|"PLCC-020-T-N"|yes|"10.42"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"CONN,HEADER,2 POS,W/LCK RAMP,2.54MM,THT"|"22-23-2021"|yes|"30.1"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"CONN,HEADER,10 POS,D-ROW,GOLD,THT,2.54MM"|"HTSW-105-07-G-D"|yes|"30.2"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"CONN, SHRD HEADER, W/LTCH, 60POS, 2.54M"|"1-104128-0"|yes|"30.3"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"IND, 220UH, 0.5A, THT, AXIAL"|"5800-221"|yes|"30.4"|""|""|""|""|""|"Electronic"|""|2|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"CONN,HEADER,R/A,8-POS,S-ROW,THT,2.54MM"|"HTSW-108-08-G-S-RA"|yes|"30.5"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"CONN,HEADER,2 POS,S-ROW,GOLD,THT,2.54MM"|"TSW-102-07-G-S"|yes|"30.6"|""|""|""|""|""|"Electronic"|""|2|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"CONN,HEADER,6 POS,D-ROW,GOLD,THT,2.54MM"|"HTSW-103-07-G-D"|yes|"30.7"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"SOCKET, 28 PIN DIP .600 CTR."|"390262-2"|yes|"30.8"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"RES, POT, 10K, UNSEALED, SMT"|"TC73X-1-103E"|yes|"40.1"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|"DS1230Y-70IND"|""|""|"IC, SRAM, 23K X8, DIP-28"|"DS1230Y-70IND"|yes|"40.2"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"IC,PROGRAMMED,FPGA,EPC2LC20,PLCC,U47"|"LAMF-07-000-REV3"|yes|"40.3"|""|""|""|""|"3"|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|"GM126422SFSYB-01"|""|""|"LCD DISPLAY, 128X64"|"GM126422SFSYB-01"|yes|"40.4"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"BUZZER"|"GCM-1206X"|yes|"40.5"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"SCREW,PH,PHIL,M2.5-.45X12MM,NYLON"|".25C120MXPN"|yes|"40.6"|""|""|""|""|""|"Electronic"|""|4|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"NUT, M2.5-.45, NYLON"|".25CNFHN"|yes|"40.7"|""|""|""|""|""|"Electronic"|""|4|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-013-REVC-AMF"|"C_7"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"SPACER, NYLON, 0.125IDX0.125L"|"R908-2"|yes|"40.8"|""|""|""|""|""|"Electronic"|""|4|""|"UseSpecific"|""|""
